title,company,location,experience,salary,date_posted,skills,city,is_remote,salary_min,salary_max,exp_years,is_tech
Field Sales Executive,"Online Classifieds Pakistan (SMC - Private) Limited,",Lahore,1 Year,50K - 50K,,"Territory Management, B2B Sales, Field Sales, Negotiation",Lahore,0,50000.0,50000.0,1.0,0
Call For Application-National Graphic Design Consultant,"United Nations Pakistan,",ICT,4 Years,Not Disclosed,,Not Specified,ICT,0,,,4.0,1
Floor Manager Sewing,"Crescent Bahuman Limited,",Pindi Bhattian,15 Years,Not Disclosed,,"Lean Manufacturing, Production Planning, Safety Compliance, Production Scheduling, Workflow Optimization, Inventory Management, Denim Sewing Production Targets",Pindi Bhattian,0,,,15.0,0
Sewing Shift In Charge,"Crescent Bahuman Limited,",Pindi Bhattian,10 Years,Not Disclosed,,"Lean Manufacturing, Production Planning, Safety Compliance, Production Scheduling, Floor Management, production target, Workforce Scheduling, Denim Garment Stitching Process, Denim Garment Stitching Techniques",Pindi Bhattian,0,,,10.0,0
Unit Manager Quality Control Finishing,"Crescent Bahuman Limited,",Pindi Bhattian,10 Years,Not Disclosed,,"Data Analysis, Root Cause Analysis, Quality Control Management, Denim Garment Finishing",Pindi Bhattian,0,,,10.0,1
Driver,"United Nations Pakistan,",Karachi,1 Year,Not Disclosed,,Not Specified,Karachi,0,,,1.0,0
Branch Manager,"U Microfinance Bank,",Faisalabad,4 Years,Not Disclosed,,"Communication Skills, Retail Sales Knowledge, Interpersonal Leadership, Business Problems Analysis",Faisalabad,0,,,4.0,0
Logistics And Supply Supervisor,"Medecins Sans Frontieres (MSF),",Gujranwala,2 Years,125K - 150K,,"supply chain, MIT Knowledge, Fleet Management, Logistics Management, Inventory Control, Logistic Support, Emergency Planning, Team Workshops Management, Fleet Operations Management, Critical Incident Stress Management, Security Measures Implementation, Logistics Systems Knowledge",Gujranwala,0,125000.0,150000.0,2.0,0
Relationship Officer Asset,"Mobilink Bank,",", Pakistan",Not Specified,Not Disclosed,,Not Specified,,0,,,,0
General Banking Officer,"Mobilink Bank,",Faisalabad,Not Specified,Not Disclosed,,Not Specified,Faisalabad,0,,,,0
Manager Quality Assurance & Reporting Call Centers,"Mobilink Bank,",Islamabad,Not Specified,Not Disclosed,,Not Specified,Islamabad,0,,,,1
Relationship Manager Asset,"Mobilink Bank,",Khushab,Not Specified,Not Disclosed,,Not Specified,Khushab,0,,,,0
Relationship Officer Asset,"Mobilink Bank,",Khushab,Not Specified,Not Disclosed,,Not Specified,Khushab,0,,,,0
Relationship Manager Asset,"Mobilink Bank,",", Pakistan",Not Specified,Not Disclosed,,Not Specified,,0,,,,0
Relationship Officer Asset,"Mobilink Bank,",Shorkot,Not Specified,Not Disclosed,,Not Specified,Shorkot,0,,,,0
Relationship Officer Asset,"Mobilink Bank,",Lahore,Not Specified,Not Disclosed,,Not Specified,Lahore,0,,,,0
Relationship Manager Asset,"Mobilink Bank,",Karachi,Not Specified,Not Disclosed,,Not Specified,Karachi,0,,,,0
